dataset,seed,method,valid_for_main_table,threshold,K,noise_strength,num_steps,guidance_scale,dice,iou,acc,sen,spec,auc,time_ms,fps
CHASE-DB1,42,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,0.9999704957008362,0.9999410510063171,0.9999961853027344,0.9999410510063171,1.0,0.9999999997595316,nan,nan
CHASE-DB1,42,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,0.9999699592590332,0.9999399781227112,0.9999961853027344,0.9999399781227112,1.0,1.0,nan,nan
CHASE-DB1,42,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.7535368800163269,0.6045400500297546,0.9643135070800781,0.843169629573822,0.9726938605308533,0.90793174491551,nan,nan
CHASE-DB1,42,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.8135899305343628,0.6857577562332153,0.9755744934082031,0.8390176296234131,0.9848384857177734,0.9119280698546586,nan,nan
CHASE-DB1,42,LU-Net+RA+Diff(20),YES,0.5,5,0.5,20,1.5,0.48544371128082275,0.32051876187324524,0.9496345520019531,0.36719533801078796,0.9899259209632874,0.9162171024128231,456.70520002022386,2.18959626462698
CHASE-DB1,42,LU-Net+RA+Diff(20),YES,0.5,5,0.5,20,1.5,0.4690299332141876,0.30636125802993774,0.9522895812988281,0.331692099571228,0.9943907856941223,0.9176673402911716,456.70520002022386,2.18959626462698
CHASE-DB1,42,LU-Net+RA+Diff(50),YES,0.5,5,0.5,50,1.5,0.21348528563976288,0.11949819326400757,0.9368133544921875,0.13253936171531677,0.9924505352973938,0.7956002907497879,1095.7769500091672,0.9125944837511266
CHASE-DB1,42,LU-Net+RA+Diff(50),YES,0.5,5,0.5,50,1.5,0.21083353459835052,0.11783897131681442,0.9391441345214844,0.12795725464820862,0.9941748976707458,0.8054200670696212,1095.7769500091672,0.9125944837511266
CHASE-DB1,42,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan
CHASE-DB1,42,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,0.9998886585235596,0.9997773170471191,0.9999885559082031,0.9998515248298645,0.9999960064888,0.9999999988059252,nan,nan
CHASE-DB1,42,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.7961709499359131,0.6613655090332031,0.9778251647949219,0.8561840057373047,0.9843059182167053,0.9202449768951103,nan,nan
CHASE-DB1,42,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.7971836924552917,0.662764310836792,0.9784622192382812,0.8236953616142273,0.9868462085723877,0.9052707625390098,nan,nan
CHASE-DB1,42,LU-Net+RA+Diff(20),YES,0.5,5,0.5,20,1.5,0.4461005628108978,0.28708457946777344,0.9597396850585938,0.3205128312110901,0.9937962889671326,0.913995239000291,464.5110999699682,2.1528010849787065
CHASE-DB1,42,LU-Net+RA+Diff(20),YES,0.5,5,0.5,20,1.5,0.4227336347103119,0.26801663637161255,0.95904541015625,0.2918120324611664,0.995190441608429,0.9014239708192628,464.5110999699682,2.1528010849787065
CHASE-DB1,42,LU-Net+RA+Diff(50),YES,0.5,5,0.5,50,1.5,0.2252187430858612,0.12689943611621857,0.95068359375,0.14170438051223755,0.9937842488288879,0.8183249776625784,1197.8567499900237,0.8348243644395112
CHASE-DB1,42,LU-Net+RA+Diff(50),YES,0.5,5,0.5,50,1.5,0.23256905376911163,0.13158592581748962,0.9500770568847656,0.14720511436462402,0.9935698509216309,0.8074798716988035,1197.8567499900237,0.8348243644395112
CHASE-DB1,42,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,0.9998478293418884,0.9996956586837769,0.9999809265136719,0.9998173713684082,0.9999918341636658,0.9999999955408265,nan,nan
CHASE-DB1,42,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,0.9996611475944519,0.9993224740028381,0.9999580383300781,0.999630331993103,0.9999796748161316,0.9999999571580388,nan,nan
CHASE-DB1,42,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.7541599273681641,0.6053425073623657,0.9645500183105469,0.8676649332046509,0.9710275530815125,0.9193462449872399,nan,nan
CHASE-DB1,42,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.7644591331481934,0.6187242269515991,0.9689445495605469,0.8139362931251526,0.9791755676269531,0.896555928416828,nan,nan
CHASE-DB1,42,LU-Net+RA+Diff(20),YES,0.5,5,0.5,20,1.5,0.44653671979904175,0.28744593262672424,0.9490966796875,0.3276722729206085,0.9906436800956726,0.917776192528373,450.31140005448833,2.2206855075820835
CHASE-DB1,42,LU-Net+RA+Diff(20),YES,0.5,5,0.5,20,1.5,0.44763222336769104,0.2883544862270355,0.95123291015625,0.3191423714160919,0.9929527640342712,0.8967257505691962,450.31140005448833,2.2206855075820835
CHASE-DB1,42,LU-Net+RA+Diff(50),YES,0.5,5,0.5,50,1.5,0.23518237471580505,0.133261576294899,0.938568115234375,0.15071828663349152,0.9912419319152832,0.8117410918931698,1148.4203499858268,0.8707613026992612
CHASE-DB1,42,LU-Net+RA+Diff(50),YES,0.5,5,0.5,50,1.5,0.21639083325862885,0.12132188677787781,0.9398536682128906,0.13412605226039886,0.9930341243743896,0.7997091499583324,1148.4203499858268,0.8707613026992612
CHASE-DB1,42,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,0.9998924732208252,0.9997849464416504,0.9999885559082031,0.9999282956123352,0.9999919533729553,0.9999999982666993,nan,nan
CHASE-DB1,42,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,0.9998927116394043,0.9997854232788086,0.9999885559082031,0.9999284744262695,0.9999919533729553,0.9999999945234426,nan,nan
CHASE-DB1,42,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.8255588412284851,0.7029376029968262,0.9804420471191406,0.8698644638061523,0.9866557717323303,0.9282601241686556,nan,nan
